Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
22,Female,25,14,4,27,Basic,Monthly,598,9,Yes
41,Female,28,28,7,13,Standard,Monthly,584,20,No
47,Male,27,10,2,29,Premium,Annual,757,21,No
35,Male,9,12,5,17,Premium,Quarterly,232,18,No
53,Female,58,24,9,2,Standard,Annual,533,18,No
30,Male,41,14,10,10,Premium,Monthly,500,29,No
47,Female,37,15,9,28,Basic,Quarterly,574,14,Yes
54,Female,36,11,0,18,Standard,Monthly,323,16,No
36,Male,20,5,10,8,Basic,Monthly,687,8,No
65,Male,8,4,2,23,Basic,Annual,995,10,No
46,Female,42,27,9,21,Standard,Annual,526,3,Yes
56,Male,13,23,5,14,Basic,Quarterly,187,1,No
31,Male,2,7,0,25,Premium,Quarterly,758,24,No
42,Male,46,27,5,8,Premium,Quarterly,438,30,No
59,Male,21,17,2,14,Premium,Quarterly,663,15,No
35,Female,1,3,7,3,Basic,Monthly,677,25,Yes
29,Male,54,3,6,2,Basic,Monthly,636,22,No
45,Male,9,30,4,25,Basic,Annual,127,18,No
65,Female,40,2,1,6,Premium,Annual,396,21,No
62,Male,39,19,2,15,Premium,Quarterly,202,24,No
48,Male,28,7,1,21,Premium,Monthly,925,13,No
36,Female,58,4,0,1,Premium,Quarterly,463,26,No
55,Male,50,28,0,17,Standard,Quarterly,449,3,No
36,Female,54,20,4,1,Basic,Monthly,373,25,No
64,Male,59,7,5,9,Basic,Annual,460,12,No
65,Female,58,7,3,30,Premium,Annual,166,1,Yes
53,Female,58,18,8,4,Basic,Quarterly,615,4,No
41,Female,60,7,7,0,Premium,Annual,696,20,No
25,Female,41,11,5,11,Premium,Annual,678,30,No
44,Female,44,7,8,16,Basic,Quarterly,792,27,Yes
28,Female,23,8,8,0,Basic,Annual,812,3,No
34,Male,26,3,0,2,Basic,Annual,156,15,No
24,Male,1,7,0,3,Standard,Annual,611,4,No
27,Female,41,8,1,7,Premium,Monthly,943,12,No
31,Female,31,6,2,29,Standard,Quarterly,329,6,Yes
46,Male,30,10,4,16,Standard,Monthly,493,1,No
59,Male,44,17,3,2,Basic,Quarterly,636,30,No
56,Female,27,15,8,24,Standard,Monthly,384,6,Yes
27,Female,44,21,3,22,Premium,Annual,515,1,No
42,Male,51,10,9,11,Basic,Monthly,820,17,No
29,Female,28,23,7,16,Basic,Quarterly,1000,26,Yes
36,Male,45,24,5,2,Premium,Quarterly,405,4,No
61,Male,19,2,7,2,Premium,Monthly,879,4,Yes
57,Male,2,26,5,14,Premium,Monthly,771,4,No
56,Male,9,16,1,22,Premium,Monthly,600,17,No
42,Female,14,14,8,12,Basic,Monthly,825,19,No
36,Female,24,21,8,29,Basic,Monthly,231,8,Yes
37,Male,13,26,2,26,Basic,Quarterly,259,15,No
51,Female,15,26,10,25,Basic,Quarterly,244,1,Yes
57,Female,46,30,2,21,Standard,Annual,705,5,No
47,Female,47,4,7,3,Standard,Monthly,136,14,No
29,Male,3,5,0,23,Standard,Monthly,843,6,No
45,Female,17,4,5,23,Standard,Annual,402,8,Yes
18,Female,22,21,3,30,Premium,Annual,919,3,No
27,Male,57,4,10,20,Premium,Annual,699,4,Yes
23,Male,34,20,3,26,Basic,Annual,733,1,No
60,Male,24,11,9,10,Standard,Monthly,563,10,No
57,Male,24,28,3,24,Premium,Annual,448,12,No
28,Female,29,3,2,21,Premium,Quarterly,172,2,Yes
64,Female,39,25,2,9,Standard,Quarterly,933,9,No
30,Male,57,21,8,24,Standard,Annual,576,6,Yes
18,Female,57,16,10,2,Basic,Quarterly,657,26,No
24,Male,13,25,9,27,Premium,Quarterly,843,29,No
40,Male,54,7,0,15,Standard,Annual,731,27,No
26,Female,33,27,1,23,Basic,Quarterly,665,5,No
41,Male,35,4,6,16,Standard,Annual,546,26,Yes
64,Female,19,27,2,0,Basic,Monthly,579,14,No
42,Male,34,2,7,17,Premium,Annual,757,25,Yes
24,Male,28,13,0,27,Premium,Quarterly,515,27,No
52,Female,56,8,9,21,Premium,Annual,599,20,Yes
48,Male,57,29,1,19,Standard,Monthly,554,12,No
28,Female,34,20,1,1,Basic,Annual,986,19,No
52,Female,5,12,5,23,Basic,Annual,844,12,No
52,Female,37,26,5,29,Standard,Annual,668,3,Yes
56,Female,55,15,10,3,Standard,Annual,867,26,No
64,Male,48,9,7,26,Premium,Annual,471,11,Yes
41,Male,59,30,5,26,Basic,Annual,628,11,Yes
48,Female,47,12,0,29,Basic,Monthly,761,8,Yes
22,Male,39,10,3,29,Standard,Monthly,599,13,No
42,Female,19,25,5,13,Premium,Monthly,372,8,No
55,Female,54,26,0,9,Premium,Annual,213,13,No
43,Female,6,16,6,21,Basic,Monthly,996,17,Yes
34,Male,26,22,8,9,Premium,Monthly,403,3,No
27,Male,42,22,3,27,Basic,Monthly,468,25,No
19,Female,59,24,3,26,Basic,Quarterly,368,8,Yes
58,Male,59,10,5,8,Basic,Monthly,599,25,No
22,Female,39,9,2,13,Basic,Quarterly,759,1,No
22,Male,25,10,10,17,Premium,Monthly,966,7,Yes
61,Female,28,9,6,5,Standard,Monthly,784,7,No
28,Male,17,19,10,12,Premium,Quarterly,332,24,No
33,Male,36,18,0,24,Premium,Annual,364,1,No
37,Female,57,21,6,6,Premium,Quarterly,209,29,No
65,Female,6,21,1,2,Premium,Quarterly,428,29,No
22,Male,51,27,9,23,Standard,Annual,347,11,Yes
42,Male,37,14,0,24,Premium,Annual,418,13,No
36,Female,42,18,8,6,Premium,Quarterly,322,10,No
20,Male,32,7,5,14,Basic,Annual,920,28,No
58,Male,21,28,10,2,Basic,Annual,894,28,No
65,Male,21,3,5,20,Standard,Quarterly,570,1,Yes
40,Male,6,26,10,0,Basic,Annual,632,5,No
52,Female,45,20,6,28,Standard,Monthly,442,10,Yes
35,Male,47,23,4,8,Standard,Annual,969,7,No
62,Female,16,13,9,15,Standard,Quarterly,719,19,No
41,Male,20,27,4,13,Basic,Monthly,941,18,No
36,Male,10,22,9,0,Standard,Quarterly,218,7,No
39,Male,59,29,5,7,Basic,Annual,225,27,No
62,Male,10,9,1,18,Standard,Quarterly,345,27,No
55,Male,22,15,1,19,Standard,Quarterly,769,30,No
44,Female,54,20,1,9,Basic,Quarterly,717,9,No
39,Female,7,30,3,5,Basic,Monthly,199,13,No
30,Male,57,20,8,26,Premium,Monthly,821,8,Yes
41,Male,8,11,9,24,Premium,Monthly,900,14,No
56,Male,56,3,3,12,Standard,Monthly,175,11,No
24,Male,10,3,8,13,Basic,Annual,317,3,No
28,Female,43,30,7,5,Basic,Monthly,600,11,No
46,Female,43,10,0,10,Basic,Quarterly,779,23,No
